repo,pr_id,ast_node_count,cfg_node_count,ast_density,cfg_density
pytorch/pytorch,188877,1,1,1.0,1.0
pytorch/pytorch,188876,732,732,2.772727272727273,2.772727272727273
pytorch/pytorch,188875,65,65,4.333333333333333,4.333333333333333
pytorch/pytorch,188874,3,3,1.0,1.0
pytorch/pytorch,188873,135,135,7.9411764705882355,7.9411764705882355
pytorch/pytorch,188870,39,39,2.2941176470588234,2.2941176470588234
pytorch/pytorch,188869,691,691,5.758333333333334,5.758333333333334
pytorch/pytorch,188868,152,152,5.62962962962963,5.62962962962963
pytorch/pytorch,188865,13,13,6.5,6.5
pytorch/pytorch,188862,648,648,9.126760563380282,9.126760563380282
pytorch/pytorch,188861,39,39,1.0,1.0
pytorch/pytorch,188860,324,324,2.793103448275862,2.793103448275862
pytorch/pytorch,188859,84,80,3.230769230769231,3.076923076923077
pytorch/pytorch,188858,7,7,7.0,7.0
pytorch/pytorch,188857,147,140,4.323529411764706,4.117647058823529
pytorch/pytorch,188856,84,80,3.230769230769231,3.076923076923077
pytorch/pytorch,188855,1,1,1.0,1.0
pytorch/pytorch,188854,157,157,5.814814814814815,5.814814814814815
pytorch/pytorch,188853,90,90,1.9565217391304348,1.9565217391304348
pytorch/pytorch,188852,23,23,23.0,23.0
pytorch/pytorch,188850,1,1,1.0,1.0
pytorch/pytorch,188849,4223,4223,5.18159509202454,5.18159509202454
pytorch/pytorch,188848,2997,2997,4.281428571428571,4.281428571428571
pytorch/pytorch,188847,2997,2997,4.281428571428571,4.281428571428571
pytorch/pytorch,188846,4,4,1.0,1.0
pytorch/pytorch,188845,3,3,1.0,1.0
pytorch/pytorch,188844,2997,2997,4.281428571428571,4.281428571428571
pytorch/pytorch,188843,215,184,1.3109756097560976,1.1219512195121952
pytorch/pytorch,188842,43,43,1.0,1.0
pytorch/pytorch,188839,194,194,8.083333333333334,8.083333333333334
pytorch/pytorch,188838,42,42,10.5,10.5
pytorch/pytorch,188834,227,227,2.121495327102804,2.121495327102804
pytorch/pytorch,188832,15,15,1.0,1.0
pytorch/pytorch,188831,137,137,7.611111111111111,7.611111111111111
pytorch/pytorch,188830,73,73,3.65,3.65
pytorch/pytorch,188828,35,35,35.0,35.0
pytorch/pytorch,188827,2,2,1.0,1.0
pytorch/pytorch,188826,2,2,1.0,1.0
pytorch/pytorch,188825,1029,1029,3.675,3.675
pytorch/pytorch,188824,266,266,0.8235294117647058,0.8235294117647058
pytorch/pytorch,188823,93,93,0.93,0.93
pytorch/pytorch,188822,210,194,1.09375,1.0104166666666667
pytorch/pytorch,188820,255,255,2.451923076923077,2.451923076923077
pytorch/pytorch,188819,176,161,1.543859649122807,1.412280701754386
pytorch/pytorch,188818,39,39,3.25,3.25
pytorch/pytorch,188817,2,2,1.0,1.0
pytorch/pytorch,188815,23,18,1.7692307692307692,1.3846153846153846
pytorch/pytorch,188814,11,11,1.0,1.0
pytorch/pytorch,188811,44,44,2.588235294117647,2.588235294117647
pytorch/pytorch,188808,37,34,7.4,6.8
pytorch/pytorch,188807,6,6,0.6,0.6
pytorch/pytorch,188805,5,5,1.0,1.0
pytorch/pytorch,188804,909,866,3.430188679245283,3.267924528301887
pytorch/pytorch,188802,1494,1190,1.6221498371335505,1.292073832790445
pytorch/pytorch,188801,75,72,2.2058823529411766,2.1176470588235294
pytorch/pytorch,188800,4,3,2.0,1.5
pytorch/pytorch,188799,458,458,4.872340425531915,4.872340425531915
pytorch/pytorch,188797,0,0,0.0,0.0
pytorch/pytorch,188795,71,71,0.922077922077922,0.922077922077922
pytorch/pytorch,188794,137,137,0.958041958041958,0.958041958041958
pytorch/pytorch,188793,6,5,1.5,1.25
pytorch/pytorch,188791,35,30,1.2962962962962963,1.1111111111111112
pytorch/pytorch,188789,312,274,1.1304347826086956,0.9927536231884058
pytorch/pytorch,188788,252,250,3.876923076923077,3.8461538461538463
pytorch/pytorch,188787,2,2,1.0,1.0
pytorch/pytorch,188785,2,2,1.0,1.0
pytorch/pytorch,188784,516,446,1.2315035799522673,1.0644391408114557
pytorch/pytorch,188783,5,5,0.8333333333333334,0.8333333333333334
pytorch/pytorch,188782,14,13,1.0769230769230769,1.0
pytorch/pytorch,188781,14,13,1.0769230769230769,1.0
pytorch/pytorch,188780,14,13,1.0769230769230769,1.0
pytorch/pytorch,188779,126,117,2.8636363636363638,2.659090909090909
pytorch/pytorch,188778,29,29,0.9354838709677419,0.9354838709677419
pytorch/pytorch,188771,105,105,2.019230769230769,2.019230769230769
pytorch/pytorch,188769,1,1,1.0,1.0
pytorch/pytorch,188766,20,20,1.0,1.0
pytorch/pytorch,188764,433,430,7.216666666666667,7.166666666666667
pytorch/pytorch,188763,84,84,0.8842105263157894,0.8842105263157894
pytorch/pytorch,188762,171,168,5.516129032258065,5.419354838709677
pytorch/pytorch,188761,7,7,0.7777777777777778,0.7777777777777778
pytorch/pytorch,188760,9,9,1.0,1.0
pytorch/pytorch,188759,244,244,1.7941176470588236,1.7941176470588236
pytorch/pytorch,188758,60,60,3.3333333333333335,3.3333333333333335
pytorch/pytorch,188755,573,572,4.340909090909091,4.333333333333333
pytorch/pytorch,188754,1,1,1.0,1.0
pytorch/pytorch,188753,1,1,1.0,1.0
pytorch/pytorch,188752,117,117,4.0344827586206895,4.0344827586206895
pytorch/pytorch,188751,131,131,4.09375,4.09375
pytorch/pytorch,188749,133,133,2.078125,2.078125
pytorch/pytorch,188748,31,24,1.55,1.2
pytorch/pytorch,188747,4982,4691,3.782839787395596,3.5618830675778286
pytorch/pytorch,188746,2,2,1.0,1.0
pytorch/pytorch,188745,117,117,4.0344827586206895,4.0344827586206895
pytorch/pytorch,188744,131,131,4.09375,4.09375
pytorch/pytorch,188743,4,4,1.0,1.0
pytorch/pytorch,188742,40,40,0.8163265306122449,0.8163265306122449
pytorch/pytorch,188741,316,283,1.234375,1.10546875
pytorch/pytorch,188739,681,681,1.594847775175644,1.594847775175644
pytorch/pytorch,188738,219,219,3.3181818181818183,3.3181818181818183
pytorch/pytorch,188737,71,71,0.8658536585365854,0.8658536585365854
pytorch/pytorch,188736,2,2,1.0,1.0
pytorch/pytorch,188735,2,2,1.0,1.0
pytorch/pytorch,188734,1333,1333,4.1526479750778815,4.1526479750778815
pytorch/pytorch,188732,84,65,1.68,1.3
pytorch/pytorch,188731,293,247,1.4577114427860696,1.228855721393035
pytorch/pytorch,188730,576,520,1.2307692307692308,1.1111111111111112
pytorch/pytorch,188729,109,95,1.345679012345679,1.1728395061728396
pytorch/pytorch,188726,207,178,1.101063829787234,0.9468085106382979
pytorch/pytorch,188725,1,1,1.0,1.0
pytorch/pytorch,188724,38,38,0.9743589743589743,0.9743589743589743
pytorch/pytorch,188722,24,24,4.8,4.8
pytorch/pytorch,188720,106,106,0.9814814814814815,0.9814814814814815
