repo,pr_id,file_count,total_additions,total_deletions,commit_message_length,pr_description_length,reviewer_count,comment_count,has_ai_reviewer,label_count,pr_length,modified_function_count,ast_node_count,cfg_node_count,ast_density,cfg_density,merged
microsoft/vscode,323621,1,4,2,76,85,2,1,True,1,161,0,4,4,1.0,1.0,True
microsoft/vscode,323619,1,1,0,56,28,3,1,True,1,84,0,1,1,1.0,1.0,True
microsoft/vscode,323614,1,0,12,81,1276,4,1,True,1,1357,0,0,0,0.0,0.0,True
microsoft/vscode,323612,1,3,3,454,5391,4,1,True,2,5457,0,3,3,1.0,1.0,True
microsoft/vscode,323610,2,21,2,62,717,4,1,True,1,779,0,37,28,1.761904761904762,1.3333333333333333,True
microsoft/vscode,323609,2,114,0,267,622,1,1,True,0,678,3,170,139,1.452991452991453,1.188034188034188,False
microsoft/vscode,323601,1,34,3,48,47,2,1,True,0,94,1,41,35,1.2058823529411764,1.0294117647058822,True
microsoft/vscode,323599,4,82,15,37,397,2,1,True,0,433,1,133,104,1.6219512195121952,1.2682926829268293,True
microsoft/vscode,323593,7,40,110,64,344,3,1,True,0,399,0,65,50,1.625,1.25,True
microsoft/vscode,323591,2,55,1,31,44,4,1,True,1,75,1,128,90,2.327272727272727,1.6363636363636365,True
microsoft/vscode,323585,2,55,1,17,7,2,1,True,1,24,1,128,90,2.327272727272727,1.6363636363636365,True
microsoft/vscode,323583,3,23,10,78,0,2,1,True,0,85,0,31,26,1.3478260869565215,1.1304347826086956,True
microsoft/vscode,323582,3,48,8,75,344,3,1,True,0,403,4,99,73,2.0625,1.5208333333333333,True
microsoft/vscode,323563,3,23,10,76,351,2,1,True,0,419,0,31,26,1.3478260869565215,1.1304347826086956,True
microsoft/vscode,323555,6,6,160,259,274,2,1,True,0,319,1,12,10,2.0,1.6666666666666667,True
microsoft/vscode,323544,4,57,123,30,109,4,1,True,1,139,1,99,76,1.736842105263158,1.3333333333333333,True
microsoft/vscode,323536,1,1,1,68,576,4,1,True,1,644,0,1,1,1.0,1.0,True
microsoft/vscode,323520,3,48,30,899,1982,1,1,True,0,2020,0,60,54,1.25,1.125,False
microsoft/vscode,323519,1,3,3,33,0,3,1,True,0,36,0,3,3,1.0,1.0,True
microsoft/vscode,323518,1,1,1,134,539,3,1,True,1,593,0,1,1,1.0,1.0,True
microsoft/vscode,323517,1,1,1,71,282,2,1,True,0,346,0,1,1,1.0,1.0,True
microsoft/vscode,323516,3,45,30,909,1432,3,1,True,0,1519,0,69,57,1.5333333333333334,1.2666666666666666,True
microsoft/vscode,323514,4,57,123,125,63,2,1,True,0,79,1,99,76,1.736842105263158,1.3333333333333333,True
microsoft/vscode,323512,1,33,0,272,344,2,1,True,0,400,1,51,41,1.5454545454545454,1.2424242424242424,True
microsoft/vscode,323502,10,13,688,112,444,4,1,True,2,556,1,40,30,3.076923076923077,2.3076923076923075,True
microsoft/vscode,323500,5,293,5,43,37,3,1,True,1,66,6,449,355,1.5324232081911262,1.21160409556314,True
microsoft/vscode,323494,1,33,0,140,106,3,1,True,0,162,1,51,41,1.5454545454545454,1.2424242424242424,True
microsoft/vscode,323493,4,187,31,453,344,3,1,True,0,386,1,282,233,1.5080213903743316,1.2459893048128343,True
microsoft/vscode,323490,10,13,688,161,407,2,1,True,1,505,1,40,30,3.076923076923077,2.3076923076923075,True
pytorch/pytorch,188880,1,6,0,466,670,0,0,False,1,713,0,7,6,1.1666666666666667,1.0,False
pytorch/pytorch,188879,3,97,7,26,1792,0,0,False,3,1903,4,331,331,3.4123711340206184,3.4123711340206184,False
pytorch/pytorch,188877,1,1,1,25,158,1,0,True,5,208,0,1,1,1.0,1.0,False
pytorch/pytorch,188876,5,264,33,104,1801,1,0,False,8,1884,12,732,732,2.772727272727273,2.772727272727273,False
pytorch/pytorch,188875,3,7,3,636,553,0,0,False,5,609,1,65,65,4.333333333333333,4.333333333333333,False
pytorch/pytorch,188874,1,3,8,152,22,0,0,False,1,59,0,3,3,1.0,1.0,False
pytorch/pytorch,188873,2,17,0,8,4331,0,0,False,5,4369,2,135,135,7.9411764705882355,7.9411764705882355,False
pytorch/pytorch,188870,8,17,15,26,477,0,0,False,4,530,0,39,39,2.294117647058824,2.294117647058824,False
pytorch/pytorch,188869,5,116,22,38,11599,0,0,False,6,11637,9,691,691,5.758333333333334,5.758333333333334,False
pytorch/pytorch,188868,2,25,6,38,10081,1,0,False,6,10119,3,152,152,5.62962962962963,5.62962962962963,False
pytorch/pytorch,188865,1,2,2,26,1101,1,0,False,3,1167,0,13,13,6.5,6.5,False
pytorch/pytorch,188862,4,69,0,2123,2260,0,0,False,5,2322,3,648,648,9.126760563380282,9.126760563380282,False
pytorch/pytorch,188861,3,40,36,26,872,0,0,False,3,978,1,39,39,1.0,1.0,False
pytorch/pytorch,188860,2,115,46,11,14331,1,0,False,5,14342,8,324,324,2.793103448275862,2.793103448275862,False
pytorch/pytorch,188859,2,26,0,1936,1868,0,0,False,3,1946,1,84,80,3.230769230769231,3.076923076923077,False
