repo,pr_id,file_count,total_additions,total_deletions,commit_message_length,pr_description_length,reviewer_count,comment_count,has_ai_reviewer,label_count,pr_length,modified_function_count,ast_node_count,cfg_node_count,ast_density,cfg_density,merged
microsoft/vscode,323848,2,8,2,626,1136,2,1,True,0,1206,0,13,10,1.625,1.25,True
microsoft/vscode,323846,3,63,5,166,13,2,1,True,0,43,0,97,77,1.5396825396825398,1.2222222222222223,False
microsoft/vscode,323844,3,58,6,225,351,2,1,True,0,398,3,92,72,1.5862068965517242,1.2413793103448276,True
microsoft/vscode,323842,1,1,1,210,711,2,1,True,0,790,0,1,1,1.0,1.0,True
microsoft/vscode,323838,4,125,12,544,399,2,1,True,0,483,4,176,143,1.408,1.144,True
microsoft/vscode,323836,21,281,25,1863,1112,1,2,True,1,1149,4,377,320,1.3416370106761566,1.1387900355871887,False
microsoft/vscode,323835,2,25,5,446,797,1,1,True,1,881,0,27,24,1.08,0.96,False
microsoft/vscode,323828,5,111,5,1233,2281,3,1,True,0,2334,1,147,120,1.3243243243243243,1.0810810810810811,False
microsoft/vscode,323827,10,99,106,425,351,2,1,True,0,381,4,197,149,1.9898989898989896,1.505050505050505,True
microsoft/vscode,323824,2,32,19,816,340,2,1,True,0,383,0,55,43,1.71875,1.34375,True
microsoft/vscode,323815,17,870,31,2260,2842,2,1,True,0,2907,12,1116,953,1.282758620689655,1.0954022988505747,True
microsoft/vscode,323810,9,594,26,1367,3450,3,3,True,0,3475,13,938,729,1.5791245791245792,1.2272727272727273,True
microsoft/vscode,323807,7,182,16,228,837,3,1,True,0,895,7,269,215,1.478021978021978,1.1813186813186811,True
microsoft/vscode,323805,2,3,3,243,524,2,1,True,0,569,0,3,3,1.0,1.0,True
microsoft/vscode,323794,9,169,15,2390,1542,2,1,True,0,1619,1,259,205,1.532544378698225,1.21301775147929,True
microsoft/vscode,323790,2,2,2,374,1599,4,1,True,0,1652,0,6,4,3.0,2.0,True
microsoft/vscode,323789,14,124,18,2125,2243,4,1,True,0,2314,2,187,148,1.5080645161290325,1.1935483870967742,True
